X [s]	1 Gast Med [V]	2 T Ant [V]	3 R Fem [V]	4 B Fem [V]	
9.267014	2.474774e-06	9.478188e-06	3.535039e-06	-4.580793e-06	
9.268014	4.456340e-06	4.993767e-06	3.895214e-05	-3.900378e-06	
9.269014	7.488770e-06	4.273344e-06	3.053351e-05	-3.146939e-07	
9.270015	8.940052e-06	3.350823e-06	1.466853e-05	1.114678e-06	
9.271015	8.307431e-06	5.125016e-06	2.739873e-05	5.864464e-07	
9.272015	8.312974e-06	6.580657e-06	3.793560e-05	1.004874e-06	
9.273015	5.008466e-06	-1.931193e-06	3.159777e-05	-1.686845e-06	
9.274015	4.144908e-06	-1.629198e-05	2.489073e-05	-3.268595e-06	
9.275015	2.179642e-06	-2.359950e-05	2.450787e-05	-3.313754e-06	
9.276015	2.614621e-06	-2.629534e-05	3.123989e-05	-4.885597e-06	
9.277015	1.069563e-05	-2.471382e-05	3.482622e-05	-3.725675e-06	
9.278015	1.076983e-05	-1.245176e-05	1.411553e-05	-2.856731e-06	
9.279015	6.839360e-06	3.232597e-06	-1.621980e-05	-1.745598e-07	
9.280015	4.065005e-06	1.305500e-05	-2.368437e-05	2.710261e-06	
9.281016	-1.638641e-06	1.161042e-05	-2.042582e-05	1.582191e-06	
9.282016	-2.037145e-06	-2.648760e-06	-2.442351e-05	3.534741e-06	
9.283016	1.595255e-06	-1.274676e-05	-2.296107e-05	-4.580028e-08	
9.284016	2.521232e-06	-1.757473e-05	-1.819075e-05	-4.573314e-06	
9.285016	3.069911e-06	-4.893885e-05	-1.857346e-05	2.506738e-06	
9.286016	2.194508e-06	-7.461348e-05	-2.165621e-05	3.339171e-06	
9.287016	-3.538522e-06	-5.333021e-05	-2.248911e-05	3.237068e-07	
9.288016	-8.024652e-06	-4.234754e-05	-1.424851e-05	5.311989e-06	
9.289016	-9.605847e-06	-4.602904e-05	-6.256875e-06	6.779836e-06	
9.290016	-1.081721e-05	-7.232647e-06	-4.068141e-06	6.862264e-06	
9.291016	-8.282976e-06	4.998846e-05	-4.835486e-06	7.818248e-06	
9.292017	-6.533348e-06	8.306402e-05	-6.088077e-06	5.131725e-06	
9.293017	-6.751016e-06	8.994907e-05	-9.083428e-07	7.040009e-06	
9.294017	-3.478951e-06	8.204285e-05	2.707483e-06	1.039075e-05	
9.295017	1.430136e-06	7.253569e-05	1.193859e-06	7.788854e-06	
9.296017	2.568655e-06	6.378363e-05	1.336673e-06	4.876830e-06	
9.297017	-2.465826e-06	5.095720e-05	1.573218e-07	3.532772e-06	
9.298017	-6.091642e-06	3.214996e-05	-7.616883e-07	2.584430e-06	
9.299017	-4.430814e-06	1.124240e-05	3.433036e-07	3.393763e-06	
9.300017	-1.122768e-06	-4.682169e-06	9.063707e-07	4.662561e-06	
9.301017	2.321269e-08	-2.029886e-05	4.675491e-06	1.267921e-06	
9.302017	-1.986750e-06	-2.732387e-05	8.845078e-06	-2.844615e-06	
9.303017	-1.009704e-06	7.352836e-07	7.902194e-06	-3.371707e-06	
9.304018	4.812059e-07	2.687900e-05	6.528947e-06	-6.828558e-06	
9.305018	-8.920550e-07	9.323713e-06	5.000475e-06	-6.848233e-06	
9.306018	-3.183265e-06	-8.597726e-06	9.286456e-07	-4.643636e-06	
9.307018	-5.057660e-06	-7.768411e-06	4.156444e-07	-9.532163e-06	
9.308018	-2.023354e-06	-1.075837e-05	3.313249e-06	-9.624611e-06	
9.309018	1.806666e-06	-1.049910e-05	1.655318e-06	-7.623397e-06	
9.310018	1.987481e-06	-2.491760e-06	7.066702e-07	-1.092048e-05	
9.311018	-2.662412e-07	-3.177611e-06	3.588582e-06	-7.238876e-06	
9.312018	-1.555598e-06	-1.375371e-05	1.884171e-06	-1.776332e-06	
9.313018	2.305414e-06	-1.200278e-05	2.007350e-06	-1.983711e-06	
9.314018	5.388139e-06	-2.415843e-06	3.605767e-06	2.718490e-06	
9.315019	6.196190e-06	-7.159210e-06	-6.271059e-07	5.027766e-06	
9.316019	6.341095e-06	-2.023832e-05	3.700966e-07	-6.193060e-07	
9.317019	1.677075e-06	-3.129789e-05	4.350127e-06	1.272087e-06	
9.318019	4.272689e-07	-3.755429e-05	3.222842e-06	2.617099e-06	
9.319019	4.415803e-06	-5.213193e-05	1.231151e-06	-4.070303e-06	
9.320019	4.754709e-06	-6.525976e-05	-1.311588e-06	-4.504892e-06	
9.321019	5.144600e-06	-3.324795e-05	-4.731106e-07	-3.742425e-06	
9.322019	5.298146e-06	-1.355586e-06	2.290216e-06	-4.920608e-06	
9.323019	4.864767e-06	-1.786547e-05	1.479693e-06	-3.037994e-06	
9.324019	5.682955e-06	-2.554707e-05	1.307800e-06	-3.983652e-06	
9.325019	2.744684e-06	-1.468657e-05	-2.661619e-07	-2.986953e-06	
9.326020	1.325036e-06	-1.543460e-05	-2.214581e-06	-1.486500e-06	
9.327020	2.676043e-06	-1.654213e-05	1.364393e-07	-5.069678e-06	
9.328020	2.623717e-07	-1.375773e-05	9.622241e-07	-1.899399e-06	
9.329020	-2.848204e-06	-5.674930e-06	-1.024630e-06	6.659696e-06	
9.330020	-1.952894e-06	1.223642e-06	-3.498996e-06	9.255702e-06	
9.331020	8.914192e-07	4.864951e-06	-5.671462e-06	6.436562e-06	
9.332020	9.520430e-07	2.581855e-05	-3.357997e-06	5.158014e-06	
9.333020	-8.621922e-09	4.402501e-05	8.521615e-07	6.022128e-06	
9.334020	3.770989e-06	3.603065e-05	-7.022461e-07	3.885764e-06	
9.335020	7.955400e-06	3.044497e-05	-2.454349e-06	5.056222e-06	
9.336020	3.585227e-06	3.533935e-05	1.064384e-06	4.583718e-06	
9.337021	1.330612e-06	3.294590e-05	3.060491e-06	-3.153922e-06	
9.338021	5.670587e-06	2.460035e-05	1.573494e-07	-1.895129e-06	
9.339021	2.762708e-06	1.681447e-05	-3.680327e-06	1.497815e-06	
9.340021	-2.539222e-06	1.396841e-05	-2.977205e-06	-1.011839e-06	
9.341021	-4.920527e-06	1.439654e-05	-4.900382e-06	1.617809e-06	
9.342021	-5.892492e-06	1.237470e-05	-9.102870e-06	5.479534e-06	
9.343021	-2.800153e-06	1.306688e-05	-4.690910e-06	8.358534e-06	
9.344021	-4.313749e-07	1.757033e-05	-3.193447e-06	9.150167e-06	
9.345021	-3.699845e-06	1.327965e-05	-5.060501e-06	7.190425e-06	
