NO_OF_FRAMES	132
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-10-29, 15:20:41	10788.77882692
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
1139	11.38000	74.090	316.451	1644.221	-1.970	494.163	1373.523	48.435	585.437	1085.867	199.882	602.304	907.958	-46.761	192.758	1340.087	-100.678	149.427	1034.068	-78.410	99.529	815.439	-4.042	516.906	813.201	-100.311	473.570	443.005	-342.406	443.220	142.694	-400.533	404.904	138.819	-276.268	454.045	34.342	-214.868	410.162	28.856	39.354	169.052	816.914	136.593	204.083	450.822	197.358	261.338	70.234	151.249	308.628	25.650	309.678	237.104	27.388	376.147	267.286	38.724
1140	11.39000	84.634	314.974	1645.387	10.427	492.160	1375.507	58.649	583.368	1087.299	205.328	601.426	905.515	-35.481	191.477	1341.450	-90.041	147.052	1036.981	-64.409	97.666	817.570	10.327	515.481	813.591	-82.223	473.195	442.825	-332.438	444.238	149.977	-390.034	404.999	148.836	-272.999	453.891	35.636	-213.836	410.042	29.046	50.209	167.593	818.777	147.039	203.868	450.773	199.485	261.405	69.980	151.590	307.990	26.126	310.530	236.757	26.998	377.924	269.858	36.143
1141	11.40000	95.340	313.594	1647.241	22.686	490.204	1377.048	68.668	581.385	1088.858	210.395	600.475	903.666	-24.321	189.970	1343.143	-76.631	146.310	1037.032	-50.213	95.985	818.940	24.376	513.998	813.987	-63.446	473.026	441.528	-320.560	445.727	155.949	-378.396	406.051	159.429	-269.947	453.366	37.948	-213.644	409.285	28.917	61.898	166.307	820.197	155.214	203.435	451.355	200.410	261.610	69.826	151.765	307.699	26.252	310.667	236.346	26.595	379.434	271.486	33.506
1142	11.41000	106.163	312.014	1648.519	34.869	488.369	1378.386	78.104	579.244	1090.080	215.621	599.471	900.798	-12.731	188.523	1344.483	-64.811	144.429	1038.918	-35.811	93.884	820.633	38.397	512.273	813.802	-43.956	472.299	440.271	-309.658	447.181	163.775	-366.536	408.044	170.990	-267.102	455.213	41.653	-212.145	408.775	29.356	72.802	164.773	821.862	163.058	202.781	451.724	200.512	261.955	70.179	152.003	307.664	26.525	310.985	235.845	26.548	380.356	271.957	31.609
1143	11.42000	117.058	311.262	1649.729	46.599	486.593	1379.160	87.943	577.957	1090.860	220.190	598.977	898.116	-1.196	186.867	1345.534	-52.735	142.769	1039.650	-21.186	91.848	822.133	51.877	510.499	813.382	-24.152	471.531	438.448	-297.235	448.742	173.491	-353.087	410.172	183.269	-259.968	455.259	46.994	-208.434	409.820	30.245	84.678	163.334	822.869	170.300	201.891	452.096	202.599	262.838	69.713	152.115	307.787	26.553	311.109	235.861	26.383	380.989	272.039	30.083
1144	11.43000	127.615	310.311	1650.662	57.744	485.078	1380.184	97.762	576.549	1091.491	224.936	598.257	895.559	10.785	185.181	1346.530	-39.562	140.836	1041.591	-6.276	89.766	823.203	64.745	509.095	813.065	-3.316	470.668	436.620	-283.450	449.706	182.338	-338.476	412.093	194.851	-253.142	457.384	52.482	-203.834	411.837	31.660	96.117	161.515	824.723	175.492	201.018	452.186	202.937	262.879	70.009	152.098	307.944	26.676	311.191	235.792	26.511	381.035	272.239	29.503
1145	11.44000	138.188	309.334	1652.018	68.338	483.596	1381.021	107.612	575.474	1091.645	229.811	597.629	891.882	22.497	183.553	1347.394	-27.665	138.679	1041.232	9.078	87.464	824.279	77.305	507.310	812.156	17.912	469.822	435.198	-268.679	451.083	191.352	-322.650	413.717	205.780	-245.070	458.563	60.729	-196.064	414.000	33.602	107.226	160.289	826.176	181.801	200.187	452.731	203.198	263.527	70.146	152.165	308.065	26.617	311.112	235.655	26.439	381.045	272.660	29.226
1146	11.45000	148.991	308.489	1652.732	78.676	482.464	1381.528	118.036	574.845	1092.229	234.254	597.339	888.756	34.254	181.962	1347.925	-14.729	136.719	1041.781	24.105	85.192	825.107	89.549	505.891	811.288	40.093	469.435	433.692	-251.501	451.881	198.266	-305.407	414.207	215.735	-233.841	459.461	66.184	-185.748	417.496	31.852	117.792	158.936	827.597	187.329	199.147	452.699	203.361	263.422	70.169	152.102	308.155	26.678	311.047	235.059	26.251	381.015	272.792	28.995
1147	11.46000	159.904	307.917	1653.958	88.760	481.360	1382.132	128.004	573.592	1092.910	237.741	597.383	886.081	46.583	180.608	1348.591	-3.165	133.812	1043.061	40.063	82.972	825.638	100.975	504.698	810.920	62.522	468.814	433.273	-234.399	451.688	206.273	-287.681	412.684	223.806	-219.596	462.984	74.746	-171.741	425.151	36.917	128.891	157.606	828.720	192.720	198.138	452.783	203.402	263.469	70.045	152.140	308.303	26.712	310.806	234.773	25.900	381.058	272.793	28.836
1148	11.47000	170.870	306.663	1654.906	98.766	480.238	1382.791	138.352	572.566	1093.127	241.719	597.307	883.138	58.365	179.158	1349.193	10.949	131.230	1042.121	55.453	80.849	826.434	112.514	503.249	810.208	84.572	467.836	433.477	-216.442	451.225	213.239	-269.223	410.733	230.111	-200.370	465.526	82.077	-154.815	430.356	45.059	139.316	156.274	830.134	196.862	196.795	452.658	203.286	263.387	70.089	152.035	308.276	26.801	310.789	234.323	25.783	380.820	272.602	28.817
