NO_OF_FRAMES	136
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-10-29, 15:06:34	9942.28641147
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
857	8.56000	285.911	232.493	1662.691	199.842	398.654	1380.769	210.542	474.013	1082.805	271.635	483.806	853.374	176.689	86.435	1358.485	161.268	41.489	1046.224	218.195	-13.960	833.695	246.372	410.433	830.528	202.904	396.798	448.487	180.353	361.304	65.567	133.121	330.670	25.364	299.315	381.714	26.336	366.616	338.070	24.988	244.942	61.769	833.126	194.359	68.893	459.925	173.315	117.731	72.628	122.941	160.554	26.985	279.769	81.190	26.549	349.888	117.037	27.484
858	8.57000	286.271	232.513	1662.659	199.398	398.628	1380.817	210.421	474.071	1082.826	271.968	484.628	853.794	177.035	86.451	1358.424	161.222	41.501	1046.404	218.255	-13.167	833.260	246.539	410.786	830.406	202.934	397.100	448.485	180.359	361.394	65.304	133.012	330.512	25.547	299.330	381.703	26.372	366.631	338.084	25.012	245.212	62.122	833.022	194.999	69.596	460.203	173.591	117.839	72.405	122.971	160.603	26.948	279.704	81.342	26.541	349.973	116.951	27.558
859	8.58000	286.732	232.275	1662.461	199.003	398.702	1380.894	210.087	474.226	1082.982	272.437	485.257	854.047	177.219	86.428	1358.402	161.755	41.647	1046.389	217.978	-12.891	833.388	246.685	411.200	830.481	203.162	397.332	448.391	180.502	361.445	65.158	133.093	330.551	25.449	299.410	381.650	26.198	366.652	338.041	24.950	245.440	62.554	833.003	195.574	69.956	460.028	173.243	117.790	72.636	122.948	160.643	27.062	279.810	81.321	26.607	350.005	116.955	27.390
860	8.59000	287.390	232.248	1662.401	198.721	398.704	1380.970	209.587	474.669	1083.187	273.102	486.059	854.465	177.731	86.503	1358.328	161.877	41.784	1046.283	217.499	-12.676	833.367	246.903	411.578	830.409	203.346	397.395	448.317	180.741	361.535	65.074	133.072	330.651	25.475	299.121	381.799	26.219	366.843	338.095	24.868	245.737	62.955	833.132	195.954	70.283	460.040	172.952	117.569	73.242	123.054	160.706	26.994	279.732	81.400	26.811	350.094	116.946	27.547
861	8.60000	288.047	232.178	1662.218	198.482	398.676	1381.107	209.178	474.917	1083.384	273.376	486.727	854.887	178.043	86.439	1358.440	162.026	41.766	1046.391	217.468	-12.182	833.292	247.041	411.886	830.216	203.166	397.491	448.414	180.654	361.459	65.069	133.233	330.626	25.373	299.205	381.698	26.396	366.817	338.063	25.176	245.816	63.445	833.209	196.375	70.648	459.981	173.073	117.630	73.265	123.043	160.732	27.079	279.609	81.495	26.983	350.076	117.030	27.413
862	8.61000	288.463	232.172	1662.139	198.325	398.731	1381.243	208.871	475.177	1083.698	273.643	487.295	855.182	178.380	86.419	1358.503	162.283	42.243	1046.504	217.542	-11.823	833.214	247.220	412.284	830.276	203.236	397.672	448.424	180.598	361.431	65.093	133.009	330.553	25.455	299.450	381.936	26.356	366.725	338.077	24.968	246.222	63.798	833.154	196.837	70.969	459.870	173.808	117.965	73.103	123.142	160.836	27.071	279.943	81.372	26.882	350.040	117.076	27.432
863	8.62000	288.471	231.870	1661.801	198.173	398.786	1381.325	208.391	475.577	1083.916	274.034	487.927	855.516	178.531	86.454	1358.488	162.926	42.739	1046.498	217.391	-11.552	833.194	247.280	412.528	830.070	203.423	397.788	448.344	180.547	361.509	65.115	133.159	330.557	25.396	299.261	381.734	26.229	366.627	338.181	25.105	246.675	64.108	833.165	197.491	71.337	459.638	172.999	117.851	73.440	123.236	160.836	26.983	279.745	81.710	26.959	350.056	117.069	27.354
864	8.63000	288.563	231.659	1661.795	198.204	398.861	1381.464	208.027	475.810	1083.941	274.287	488.583	855.818	178.798	86.504	1358.543	162.545	42.595	1046.752	217.668	-11.176	833.257	247.203	412.809	830.160	203.520	398.065	448.375	180.403	361.394	65.395	133.122	330.561	25.514	299.391	382.052	26.367	366.808	338.158	25.050	246.991	64.497	833.061	197.893	71.755	459.634	173.845	118.174	73.154	123.280	160.897	27.022	279.854	81.792	26.913	350.091	117.072	27.349
865	8.64000	288.844	231.675	1661.797	198.091	398.884	1381.513	207.847	476.223	1084.167	274.527	489.511	856.225	179.132	86.494	1358.594	163.068	42.839	1046.373	217.781	-11.098	833.493	247.152	413.120	830.158	203.644	398.115	448.192	180.785	361.598	65.037	133.134	330.587	25.461	299.070	381.840	26.377	366.619	338.127	24.972	247.385	64.645	833.038	198.355	72.067	459.702	174.035	118.276	73.225	123.358	160.886	27.126	280.021	81.749	27.046	350.183	117.155	27.356
866	8.65000	288.987	231.834	1661.988	198.085	398.973	1381.575	207.597	476.610	1084.328	274.714	490.153	856.506	179.620	86.714	1358.429	163.325	43.084	1046.559	218.183	-10.777	833.330	246.993	413.412	830.151	203.676	398.353	448.126	180.558	361.506	65.165	133.043	330.485	25.523	299.315	382.034	26.203	366.659	338.299	24.935	247.834	64.849	832.984	198.871	72.472	459.726	173.773	118.254	73.368	123.440	160.869	27.089	279.843	81.788	27.230	350.175	117.168	27.395
