X [s]	1 Gast Med [V]	2 T Ant [V]	3 R Fem [V]	4 B Fem [V]	
9.228011	6.249940e-06	1.251188e-05	3.893005e-06	4.457657e-06	
9.229011	6.235585e-06	1.299130e-05	4.155908e-06	4.449649e-06	
9.230011	6.222941e-06	1.347921e-05	4.435926e-06	4.442529e-06	
9.231011	6.211930e-06	1.397495e-05	4.732073e-06	4.436275e-06	
9.232011	6.202475e-06	1.447787e-05	5.043361e-06	4.430861e-06	
9.233011	6.194501e-06	1.498731e-05	5.368806e-06	4.426263e-06	
9.234011	6.187929e-06	1.550261e-05	5.707419e-06	4.422455e-06	
9.235011	6.182685e-06	1.602312e-05	6.058216e-06	4.419413e-06	
9.236011	6.178690e-06	1.654818e-05	6.420208e-06	4.417113e-06	
9.237012	6.175868e-06	1.707713e-05	6.792411e-06	4.415529e-06	
9.238012	6.174143e-06	1.760933e-05	7.173836e-06	4.414637e-06	
9.239012	6.173438e-06	1.814410e-05	7.563498e-06	4.414413e-06	
9.240012	6.173676e-06	1.868079e-05	7.960411e-06	4.414831e-06	
9.241012	6.174780e-06	1.921876e-05	8.363587e-06	4.415867e-06	
9.242012	6.176674e-06	1.975733e-05	8.772041e-06	4.417495e-06	
9.243012	6.179281e-06	2.029587e-05	9.184785e-06	4.419693e-06	
9.244012	6.182524e-06	2.083370e-05	9.600834e-06	4.422434e-06	
9.245012	6.186327e-06	2.137017e-05	1.001920e-05	4.425694e-06	
9.246012	6.190613e-06	2.190463e-05	1.043890e-05	4.429448e-06	
9.247012	6.195305e-06	2.243641e-05	1.085894e-05	4.433672e-06	
9.248013	6.200327e-06	2.296487e-05	1.127834e-05	4.438340e-06	
9.249013	6.205601e-06	2.348935e-05	1.169611e-05	4.443429e-06	
9.250013	6.211052e-06	2.400918e-05	1.211127e-05	4.448913e-06	
9.251013	6.216602e-06	2.452372e-05	1.252283e-05	4.454768e-06	
9.252013	6.222175e-06	2.503231e-05	1.292980e-05	4.460969e-06	
9.253013	6.227694e-06	2.553429e-05	1.333120e-05	4.467491e-06	
9.254013	6.233082e-06	2.602900e-05	1.372603e-05	4.474310e-06	
9.255013	6.238263e-06	2.651578e-05	1.411332e-05	4.481400e-06	
