X [s]	1 Gast Med [V]	2 T Ant [V]	3 R Fem [V]	4 B Fem [V]	
11.411118	1.266319e-05	2.316542e-05	6.364513e-06	2.015299e-05	
11.412119	1.280707e-05	2.341195e-05	6.439670e-06	1.990824e-05	
11.413120	1.294517e-05	2.365372e-05	6.513373e-06	1.966003e-05	
11.414121	1.307703e-05	2.388935e-05	6.585419e-06	1.940838e-05	
11.415122	1.320219e-05	2.411747e-05	6.655606e-06	1.915333e-05	
11.416123	1.332019e-05	2.433670e-05	6.723730e-06	1.889492e-05	
11.417124	1.343057e-05	2.454567e-05	6.789588e-06	1.863316e-05	
11.418124	1.353288e-05	2.474300e-05	6.852979e-06	1.836809e-05	
11.419125	1.362665e-05	2.492733e-05	6.913698e-06	1.809974e-05	
11.420126	1.371142e-05	2.509727e-05	6.971542e-06	1.782814e-05	
11.421127	1.378674e-05	2.525146e-05	7.026310e-06	1.755331e-05	
11.422128	1.385214e-05	2.538851e-05	7.077798e-06	1.727530e-05	
11.423129	1.390717e-05	2.550706e-05	7.125802e-06	1.699413e-05	
11.424130	1.395136e-05	2.560573e-05	7.170121e-06	1.670983e-05	
11.425131	1.398431e-05	2.568322e-05	7.210562e-06	1.642244e-05	
11.426132	1.400630e-05	2.573937e-05	7.247084e-06	1.613212e-05	
11.427133	1.401809e-05	2.577480e-05	7.279756e-06	1.583910e-05	
11.428133	1.402049e-05	2.579017e-05	7.308649e-06	1.554363e-05	
11.429134	1.401427e-05	2.578613e-05	7.333836e-06	1.524594e-05	
11.430135	1.400024e-05	2.576334e-05	7.355386e-06	1.494628e-05	
11.431136	1.397916e-05	2.572246e-05	7.373373e-06	1.464490e-05	
11.432137	1.395185e-05	2.566413e-05	7.387867e-06	1.434203e-05	
11.433138	1.391907e-05	2.558902e-05	7.398939e-06	1.403792e-05	
11.434139	1.388163e-05	2.549777e-05	7.406661e-06	1.373280e-05	
11.435140	1.384032e-05	2.539104e-05	7.411105e-06	1.342693e-05	
11.436141	1.379591e-05	2.526949e-05	7.412342e-06	1.312053e-05	
11.437142	1.374920e-05	2.513376e-05	7.410443e-06	1.281386e-05	
11.438142	1.370098e-05	2.498452e-05	7.405480e-06	1.250716e-05	
11.439143	1.365204e-05	2.482242e-05	7.397523e-06	1.220066e-05	
11.440144	1.360316e-05	2.464811e-05	7.386646e-06	1.189461e-05	
11.441145	1.355514e-05	2.446225e-05	7.372918e-06	1.158925e-05	
11.442146	1.350876e-05	2.426549e-05	7.356412e-06	1.128482e-05	
